# Rime user dictionary
#@/db_name	phrases_smp_all.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22014
#@/user_id	Rime
a 	啊	c=120 d=1.46935 t=22014
huang gang shi 	黃岡市	c=2 d=2.06788e-10 t=22014
huang he 	黃鶴	c=2 d=1.91393 t=21969
huang jin 	黃金	c=1 d=4.0026e-11 t=22014
huang jin ji si 	黃金緝私	c=1 d=3.59102e-11 t=22014
huang jin ji si dui 	黃金缉私队	c=1 d=3.19092e-33 t=22014
huang qiu sheng 	黃秋生	c=1 d=1 t=20076
huang se 	黃色	c=1 d=8.52842e-40 t=22014
huang shan 	黃鱔	c=5 d=2.04314e-06 t=22014
huang shi 	黃石	c=1 d=7.05408e-13 t=22014
huang shi gang 	黃石港	c=1 d=6.98389e-13 t=22014
huang tu 	黃土	c=2 d=3.52038e-33 t=22014
huang ye 	黃頁	c=1 d=6.48698e-27 t=22014
huang you 	黃油	c=1 d=0.00202943 t=22014
hui 	匯	c=1 d=1 t=20581
hui 	回	c=8 d=0.000547581 t=22014
hui 	會	c=26 d=0.187377 t=22014
hui 	灰	c=2 d=1.95939e-17 t=22014
hui bao 	回報	c=1 d=1 t=21251
hui bu hui 	會不會	c=5 d=1.11993e-09 t=22014
hui dao 	回到	c=3 d=4.35856e-15 t=22014
hui er 	會兒	c=1 d=2.40795e-15 t=22014
hui fu 	回覆	c=13 d=6.8764e-07 t=22014
hui fu 	恢復	c=9 d=0.141564 t=22014
hui fu chu chang 	恢復出廠	c=2 d=6.53522e-18 t=22014
hui jiao tu 	回教徒	c=1 d=4.64923e-20 t=22014
hui lai 	回來	c=1 d=2.08003e-28 t=22014
hui qu 	回去	c=2 d=1.25318e-08 t=22014
hui se 	灰色	c=3 d=3.09941e-24 t=22014
hui shi 	回事	c=0 d=9.68568e-38 t=22014
hui tie 	回帖	c=1 d=2.5371e-12 t=22014
hui tui 	回退	c=1 d=9.37197e-32 t=22014
hui wei 	回味	c=1 d=1 t=21265
hui yin 	迴音	c=0 d=0.00699482 t=22014
hui yuan 	會員	c=7 d=3.07155e-20 t=22014
hui zai 	會在	c=1 d=1.71327e-40 t=22014
hui zi 	回子	c=1 d=1 t=20472
hui zong 	彙總	c=1 d=4.10293e-20 t=22014
hui zu 	回族	c=1 d=1 t=20475
hun 	混	c=2 d=0.185444 t=22014
hun 	葷	c=2 d=1.73148e-39 t=22014
hun luan 	混亂	c=0 d=2.53537e-05 t=22014
hun xiao 	混淆	c=1 d=3.35634e-10 t=22014
huo 	或	c=6 d=3.27514e-16 t=22014
huo 	活	c=2 d=0.000199439 t=22014
huo 	火	c=2 d=6.71149e-07 t=22014
huo dong 	活動	c=1 d=1.32061e-07 t=22014
huo er 	活兒	c=1 d=1.47082e-39 t=22014
huo hai 	禍害	c=1 d=3.14341e-33 t=22014
huo mai 	活埋	c=1 d=1.56506e-05 t=22014
huo po 	活潑	c=1 d=3.3075e-14 t=22014
huo qu 	獲取	c=5 d=1.22223e-08 t=22014
huo yue yi xia 	活跃一下	c=1 d=2.3469e-07 t=22014
huo zhe 	或者	c=4 d=0.0902655 t=22014
huo zhe 	活着	c=1 d=5.23737e-39 t=22014
huo zhe shuo 	或者說	c=1 d=4.053e-23 t=22014
ji 	即	c=2 d=7.12861e-19 t=22014
ji 	既	c=5 d=2.44159e-40 t=22014
ji 	集	c=3 d=0.00744658 t=22014
ji ba 	雞巴	c=1 d=1.35894e-20 t=22014
ji ben 	基本	c=27 d=0.114756 t=22014
ji ben shang 	基本上	c=2 d=9.80532e-05 t=22014
ji bie 	級別	c=2 d=6.12105e-42 t=22014
ji bu fen 	几部分	c=1 d=5.21213e-41 t=22014
ji cheng 	集成	c=2 d=1.66729e-14 t=22014
ji ci 	幾次	c=1 d=4.11687e-38 t=22014
ji dai 	基带	c=3 d=7.26818e-33 t=22014
ji dai 	幾代	c=1 d=1.44843e-35 t=22014
ji de 	記得	c=1 d=1.55028e-11 t=22014
ji diao 	擠掉	c=1 d=2.99122e-08 t=22014
ji du 	嫉妒	c=1 d=2.70657e-08 t=22014
ji fang 	機房	c=1 d=0.852144 t=22014
ji fen 	積分	c=1 d=2.44976e-41 t=22014
ji fen zhong 	幾分鐘	c=1 d=1.11894e-28 t=22014
ji fu 	肌膚	c=0 d=3.09029e-10 t=22014
ji ge 	幾個	c=13 d=0.173937 t=22014
ji ge yue 	幾個月	c=1 d=1.42468e-17 t=22014
ji ge zi 	幾個字	c=1 d=3.25659e-08 t=22014
ji hu 	幾乎	c=1 d=3.70668e-31 t=22014
ji hua 	計劃	c=1 d=2.49797e-35 t=22014
ji hui 	機會	c=1 d=3.6882e-31 t=22014
ji huo 	激活	c=4 d=1.11492e-12 t=22014
ji jin 	激進	c=1 d=4.24726e-06 t=22014
ji jiu 	急救	c=1 d=8.36408e-17 t=22014
ji ju 	幾句	c=0 d=7.00078e-13 t=22014
ji ke 	即可	c=7 d=2.05018e-05 t=22014
ji ke yi 	既可以	c=1 d=9.5942e-43 t=22014
ji le 	雞肋	c=5 d=4.53538e-06 t=22014
ji lu 	記錄	c=6 d=0.0131019 t=22014
ji lu pian 	紀錄片	c=2 d=1.74423e-06 t=22014
ji mi 	機密	c=1 d=2.17806e-11 t=22014
ji miao 	幾秒	c=2 d=6.29055e-10 t=22014
ji nian qian 	幾年前	c=0 d=5.83027e-37 t=22014
ji qi 	機器	c=3 d=1.58966e-05 t=22014
ji qi ren 	機器人	c=7 d=0.00343129 t=22014
ji qiao 	技巧	c=1 d=8.7446e-11 t=22014
ji ran 	既然	c=13 d=0.0755807 t=22014
ji shao cheng duo 	集少成多	c=1 d=1 t=20304
ji shi 	即使	c=8 d=0.0970714 t=22014
ji shi 	及時	c=1 d=1.47517e-15 t=22014
ji shi 	紀實	c=1 d=1 t=21977
ji shi ge 	幾十個	c=1 d=3.12837e-06 t=22014
ji shi nian 	幾十年	c=2 d=0.0497871 t=22014
ji shi nian hou 	幾十年後	c=1 d=2.15046e-08 t=22014
ji shu 	基數	c=1 d=4.82237e-09 t=22014
ji shu 	技術	c=7 d=0.156458 t=22014
ji si 	緝私	c=1 d=4.02087e-11 t=22014
ji si dui 	缉私队	c=0 d=3.175e-34 t=22014
ji suan 	計算	c=2 d=1.34007e-32 t=22014
ji suan qi 	計算器	c=1 d=5.78621e-35 t=22014
ji tian 	幾天	c=4 d=0.546074 t=22014
ji wan 	幾萬	c=1 d=3.00621e-08 t=22014
ji wei shu ji 	紀委書記	c=1 d=1 t=21088
ji xia 	幾下	c=1 d=1.90204e-05 t=22014
ji xiao shi 	幾小時	c=1 d=8.20823e-31 t=22014
ji xie 	機械	c=1 d=1.29623e-23 t=22014
ji xing 	機型	c=1 d=1.99054e-40 t=22014
ji xu 	繼續	c=9 d=0.351692 t=22014
ji yu 	基於	c=2 d=8.25523e-23 t=22014
ji zai 	既在	c=3 d=3.00231e-42 t=22014
ji zhe 	記者	c=2 d=0.000128446 t=22014
ji zhi 	機制	c=1 d=1.36812e-11 t=22014
ji zhu 	記住	c=3 d=2.96499e-22 t=22014
ji zi 	機子	c=9 d=0.386741 t=22014
jia 	假	c=5 d=1.11149e-08 t=22014
jia 	加	c=12 d=0.0784731 t=22014
jia 	家	c=9 d=0.0543452 t=22014
jia 	甲	c=1 d=2.48078e-42 t=22014
jia chuan sheng zhi 	假傳聖旨	c=1 d=6.98248e-40 t=22014
jia dian er 	加點兒	c=1 d=1 t=20278
jia fen 	加分	c=1 d=2.73377e-08 t=22014
jia ge 	價格	c=8 d=1.5508e-07 t=22014
jia ge 	加個	c=1 d=2.2332e-11 t=22014
jia ge 	架個	c=3 d=9.09039e-33 t=22014
jia gou 	架構	c=1 d=2.25097e-16 t=22014
jia huo 	傢伙	c=1 d=8.80789e-37 t=22014
jia jie mi 	加解密	c=1 d=3.57615e-21 t=22014
jia jin lai 	加進來	c=1 d=1.63365e-39 t=22014
jia jin qu 	加進去	c=1 d=1.8202e-17 t=22014
jia le 	加了	c=5 d=0.00499159 t=22014
jia li 	家裏	c=3 d=6.528e-10 t=22014
jia mi 	加密	c=9 d=0.0315873 t=22014
jia ru 	假如	c=1 d=1.59771e-42 t=22014
jia ru 	加入	c=8 d=0.0765363 t=22014
jia she 	假設	c=1 d=7.90814e-34 t=22014
jia shuo 	假說	c=4 d=7.75946e-41 t=22014
jia su 	加速	c=14 d=0.00184508 t=22014
jia su qi 	加速器	c=2 d=1.29319e-34 t=22014
jia wei 	價位	c=1 d=1.93171e-40 t=22014
jia yi bing ding 	甲乙丙丁	c=1 d=4.03978e-14 t=22014
jia yi ge 	加一个	c=1 d=2.57404e-35 t=22014
jia yong 	家用	c=5 d=0.00214418 t=22014
jia you 	加油	c=1 d=4.1228e-18 t=22014
jia zai 	加載	c=3 d=2.98907e-21 t=22014
jia zhi 	價值	c=1 d=2.34124e-08 t=22014
jian 	件	c=1 d=8.77619e-24 t=22014
jian 	姦	c=1 d=1.67535e-12 t=22014
jian 	見	c=1 d=2.43091e-09 t=22014
jian 	鍵	c=12 d=1.35646e-05 t=22014
jian 	間	c=3 d=0.00302755 t=22014
jian ce 	檢測	c=8 d=0.163654 t=22014
jian cha 	檢查	c=1 d=3.65784e-22 t=22014
jian cha yuan 	檢察院	c=1 d=1 t=21423
jian cha zhang 	檢察長	c=1 d=1 t=21426
jian cheng 	簡稱	c=1 d=1 t=20328
jian chi 	堅持	c=3 d=0.00152729 t=22014
jian dan 	簡單	c=4 d=0.000706632 t=22014
jian die 	間諜	c=1 d=5.07135e-13 t=22014
jian du 	監督	c=1 d=1.17755e-11 t=22014
jian fan 	簡繁	c=2 d=1.07487e-13 t=22014
jian gui 	見鬼	c=1 d=6.53971e-34 t=22014
jian jie 	簡潔	c=2 d=2.56565e-20 t=22014
jian lou 	簡陋	c=1 d=9.35603e-12 t=22014
jian mo 	建模	c=1 d=9.47422e-42 t=22014
jian rong 	兼容	c=4 d=0.172484 t=22014
jian sheng 	監生	c=1 d=1 t=20501
jian shi 	監視	c=1 d=1.72133e-07 t=22014
jian shi 	簡史	c=1 d=8.65464e-07 t=22014
jian shi 	見識	c=1 d=1 t=20872
jian ti 	簡體	c=2 d=1.956 t=20578
jian tie 	剪貼	c=1 d=5.04605e-13 t=22014
jian xing 	減刑	c=1 d=2.24906e-06 t=22014
jian yi 	建議	c=4 d=9.59778e-18 t=22014
jian zhan 	建站	c=1 d=2.83211e-12 t=22014
jiang 	江	c=1 d=2.38359e-13 t=22014
jiang 	講	c=2 d=3.45256e-19 t=22014
jiang dao 	降到	c=1 d=1.84671e-40 t=22014
jiang jia 	降價	c=7 d=2.82668e-35 t=22014
jiang jie 	講解	c=1 d=3.21576e-36 t=22014
jiang jie shi 	蔣介石	c=1 d=0.0391639 t=22014
jiang jiu 	將就	c=1 d=1.44469e-34 t=22014
jiang jiu 	講究	c=1 d=8.32095e-15 t=22014
jiang jun 	將軍	c=1 d=3.06059e-13 t=22014
jiang lai 	將來	c=1 d=1.01105e-41 t=22014
jiang nan 	江南	c=1 d=3.77501e-40 t=22014
jiang wen 	姜文	c=1 d=1 t=20246
jiang yu 	降雨	c=1 d=1.81581e-18 t=22014
jiang zao 	降噪	c=2 d=1.87236e-12 t=22014
jiang ze min 	江澤民	c=4 d=3.66145 t=20220
jiang zuo 	講座	c=2 d=6.54524e-36 t=22014
jiao 	叫	c=14 d=0.206552 t=22014
jiao 	腳	c=2 d=2.0724e-06 t=22014
jiao ben 	腳本	c=2 d=0.00108086 t=22014
jiao cheng 	教程	c=7 d=0.625177 t=22014
jiao da 	較大	c=1 d=3.19363e-43 t=22014
jiao dai 	交代	c=1 d=1 t=21451
jiao du 	角度	c=3 d=0.170444 t=22014
jiao fa 	叫法	c=3 d=2.95084 t=20379
jiao fei 	繳費	c=2 d=6.15907e-05 t=22014
jiao ji 	交際	c=1 d=1 t=21399
jiao liu 	交流	c=3 d=0.0229371 t=22014
jiao liu dian 	交流電	c=1 d=6.70298e-30 t=22014
jiao shou 	教授	c=4 d=0.0336043 t=22014
jiao tu san ku 	狡兔三窟	c=1 d=0.00759701 t=22014
jiao wang 	交往	c=1 d=2.78227e-09 t=22014
jiao yan 	校驗	c=1 d=1 t=21695
jiao yu wang 	教育網	c=3 d=5.10206e-10 t=22014
jiao zhun 	校準	c=3 d=1.68779 t=21693
jie 	接	c=2 d=1.59414e-32 t=22014
jie 	藉	c=6 d=0.612626 t=22014
jie 	解	c=2 d=0.0566989 t=22014
jie chu 	解除	c=2 d=1.80654 t=21645
jie ge tu 	截个图	c=1 d=0.00052611 t=22014
jie gou 	結構	c=2 d=4.68621e-16 t=22014
jie guo 	結果	c=5 d=7.56685e-15 t=22014
jie he 	結合	c=0 d=0.00403566 t=22014
jie jie 	姐姐	c=1 d=0.031273 t=22014
jie jin 	接近	c=2 d=3.27391e-32 t=22014
jie ju 	結局	c=1 d=2.30278e-19 t=22014
jie jue 	解決	c=7 d=1.52642e-05 t=22014
jie kou 	接口	c=5 d=1.11156e-29 t=22014
jie lun 	結論	c=1 d=8.48733e-42 t=22014
jie mi 	解密	c=5 d=3.27425e-11 t=22014
jie mian 	界面	c=4 d=1.75784e-19 t=22014
jie na 	接納	c=0 d=0.1 t=21335
jie na ta 	接納她	c=1 d=1 t=21336
jie ru 	介入	c=1 d=3.8136e-42 t=22014
jie shao 	介紹	c=1 d=8.35697e-07 t=22014
jie shao yi xia 	介紹一下	c=1 d=2.99794e-05 t=22014
jie sheng 	節省	c=0 d=9.09837e-08 t=22014
jie sheng bu liao 	節省不料	c=1 d=9.14398e-07 t=22014
jie shi 	解釋	c=2 d=7.49532e-42 t=22014
jie shou 	接受	c=1 d=1.35119e-41 t=22014
jie shou ren 	接收人	c=1 d=1.44547e-11 t=22014
jie shou zhe 	接收者	c=1 d=2.1235e-36 t=22014
jie shu 	結束	c=2 d=1.32723e-07 t=22014
jie suo 	解鎖	c=15 d=1.85544 t=22014
jie tu 	截圖	c=8 d=0.00265094 t=22014
jie wei 	結尾	c=1 d=7.34048e-40 t=22014
jie xi 	解析	c=5 d=3.29323e-09 t=22014
jie ya 	解壓	c=5 d=1.42076e-14 t=22014
jie yue 	節約	c=1 d=1.1226e-37 t=22014
jin 	盡	c=1 d=9.46294e-28 t=22014
jin 	進	c=2 d=1.73025e-09 t=22014
jin 	金	c=1 d=1.26879e-36 t=22014
jin bu le 	進不了	c=1 d=4.67174e-18 t=22014
jin du 	進度	c=1 d=3.45609e-31 t=22014
jin er 	進而	c=1 d=6.98367e-42 t=22014
jin gen 	緊跟	c=1 d=0.0309618 t=22014
jin guan 	儘管	c=1 d=4.97262e-17 t=22014
jin jin 	僅僅	c=13 d=0.232427 t=22014
jin jin shi 	僅僅是	c=1 d=7.00078e-12 t=22014
jin lai 	進來	c=4 d=2.72706e-18 t=22014
jin le 	進了	c=1 d=7.45419e-15 t=22014
jin liang 	儘量	c=2 d=0.279431 t=22014
jin nian 	今年	c=3 d=1.0587e-24 t=22014
jin pen xi shou 	金盆洗手	c=1 d=1 t=20508
jin ping mei 	金瓶梅	c=8 d=1.02143 t=21891
jin qi ta 	進其他	c=1 d=4.83815e-18 t=22014
jin qu 	進去	c=9 d=0.000456197 t=22014
jin ri 	今日	c=1 d=4.53827e-26 t=22014
jin ri tou tiao 	今日頭條	c=2 d=8.10182e-26 t=22014
jin ru 	進入	c=11 d=0.37417 t=22014
jin shu gan 	金屬桿	c=1 d=0.0152985 t=22014
jin si 	近似	c=2 d=2.30294e-41 t=22014
jin tian 	今天	c=17 d=0.449546 t=22014
jin wan 	今晚	c=3 d=5.12144e-11 t=22014
jin xi shan 	金喜善	c=3 d=0.00977942 t=22014
jin xing 	進行	c=6 d=3.41296e-18 t=22014
jin yong 	禁用	c=1 d=1.22832e-37 t=22014
jin zao 	儘早	c=1 d=2.89276e-26 t=22014
jin zhi 	禁止	c=10 d=0.00217324 t=22014
jing 	經	c=1 d=2.3481e-13 t=22014
jing 	靖	c=1 d=1.40271e-40 t=22014
jing 	靜	c=1 d=8.20544e-27 t=22014
jing 	驚	c=2 d=1.98081e-33 t=22014
jing an 	靜安	c=1 d=3.06955e-18 t=22014
jing chang 	經常	c=7 d=1.85277e-05 t=22014
jing dian 	經典	c=2 d=2.04662e-14 t=22014
jing dong 	京東	c=5 d=8.02114e-13 t=22014
jing fei ju 	警匪剧	c=1 d=1 t=19738
jing gao 	警告	c=2 d=0.790571 t=22014
jing li 	精力	c=2 d=0.0198411 t=22014
jing li 	經歷	c=1 d=1 t=21231
jing mi 	精密	c=1 d=6.10174e-42 t=22014
jing mo 	靜默	c=1 d=3.14672e-16 t=22014
jing que 	精確	c=1 d=1.08436e-41 t=22014
jing shen 	精神	c=1 d=5.93471e-39 t=22014
jing shen bing 	精神病	c=3 d=0.0652496 t=22014
jing tai 	靜態	c=5 d=0.00268801 t=22014
jing tian 	景田	c=1 d=0.00214418 t=22014
jing ya 	驚訝	c=1 d=8.96749e-13 t=22014
jing yan 	經驗	c=2 d=3.01297e-05 t=22014
jing ye 	敬業	c=1 d=1.08027e-26 t=22014
jiong po 	窘迫	c=1 d=3.0447e-40 t=22014
jiu 	就	c=103 d=3.16144 t=22014
jiu 	舊	c=1 d=0.900325 t=22014
jiu bu neng 	就不能	c=1 d=0.000314351 t=22014
jiu cai 	韭菜	c=1 d=3.50165e-38 t=22014
jiu dang 	就當	c=1 d=6.3674e-14 t=22014
jiu gai 	就該	c=1 d=0.0319048 t=22014
jiu hao 	九號	c=1 d=5.79034e-14 t=22014
jiu hao 	就好	c=1 d=1.80025e-05 t=22014
jiu hui 	就會	c=4 d=0.00249118 t=22014
jiu jie 	糾結	c=1 d=2.37331e-21 t=22014
jiu kao 	就靠	c=1 d=0.519442 t=22014
jiu ke yi 	就可以	c=8 d=0.0207381 t=22014
jiu mei you 	就没有	c=2 d=1.59028e-38 t=22014
jiu shi 	就是	c=77 d=1.41486 t=22014
jiu suan 	就算	c=1 d=3.04791e-23 t=22014
jiu wei 	久違	c=1 d=1.08532e-22 t=22014
jiu wo 	就我	c=1 d=4.65002e-22 t=22014
jiu xi 	酒席	c=1 d=1 t=20490
jiu xiang 	就像	c=3 d=2.49959e-23 t=22014
jiu xie 	就寫	c=1 d=5.61921e-14 t=22014
jiu xing 	就行	c=5 d=1.93749e-05 t=22014
jiu yao 	就要	c=1 d=0.00184551 t=22014
jiu yi ge 	就一个	c=1 d=3.84211e-12 t=22014
jiu yong 	就用	c=1 d=1.68432e-16 t=22014
jiu you 	就有	c=1 d=4.39893e-16 t=22014
jiu zhe yang 	就这样	c=1 d=1 t=21269
jiu zhi chi 	就支持	c=1 d=1.40926e-36 t=22014
ju 	局	c=1 d=0.00267181 t=22014
ju ge 	舉個	c=2 d=1.09079e-25 t=22014
ju ji qiang 	狙击枪	c=1 d=2.04134e-13 t=22014
ju li 	距離	c=1 d=6.10921e-27 t=22014
ju qing 	劇情	c=5 d=0.080888 t=22014
ju shi 	局勢	c=1 d=0.0415857 t=22014
ju shuo 	據說	c=5 d=4.31857e-05 t=22014
ju ti 	具體	c=10 d=0.0139122 t=22014
ju ti dao 	具体到	c=1 d=3.75235e-28 t=22014
ju ti shuo 	具體說	c=1 d=5.08431e-43 t=22014
ju wai qing 	劇外情	c=1 d=1 t=20896
ju wo 	據我	c=2 d=3.91772e-06 t=22014
ju xian 	侷限	c=1 d=9.26136e-10 t=22014
ju ye 	举业	c=1 d=1 t=20691
ju you 	具有	c=2 d=2.77401e-41 t=22014
ju yu wang 	局域網	c=2 d=5.93058e-34 t=22014
ju zhang 	局長	c=2 d=1.07802 t=21440
ju zhong 	劇中	c=1 d=1 t=21449
juan zeng 	捐贈	c=3 d=2.37662e-08 t=22014
juan zhu 	捐助	c=1 d=5.44647e-29 t=22014
jue 	覺	c=1 d=8.33229e-31 t=22014
jue de 	覺得	c=8 d=0.00556881 t=22014
jue ding 	決定	c=2 d=7.06369e-29 t=22014
jue se 	角色	c=3 d=1.09515 t=21406
jue zhan 	決戰	c=1 d=1 t=20297
jun 	君	c=2 d=5.6047e-13 t=22014
jun fa 	軍閥	c=1 d=0.0380064 t=22014
jun shi 	軍事	c=1 d=5.10909e-12 t=22014
ka 	卡	c=46 d=0.475967 t=22014
ka de 	卡的	c=1 d=3.90217e-18 t=22014
ka fei 	咖啡	c=1 d=7.39511e-39 t=22014
ka fei bei 	咖啡杯	c=1 d=7.8524e-39 t=22014
ka li 	卡里	c=0 d=3.33608e-28 t=22014
ka li ao 	卡里奧	c=1 d=3.35281e-27 t=22014
ka shua 	卡刷	c=17 d=1.60014e-16 t=22014
ka si 	卡司	c=1 d=1.66467e-25 t=22014
ka zai 	卡在	c=3 d=1.68054e-19 t=22014
ka zhu 	卡主	c=1 d=1.40878e-32 t=22014
kai 	開	c=17 d=0.00336701 t=22014
kai bang 	开榜	c=1 d=7.01748e-40 t=22014
kai fa ban 	開發板	c=2 d=0.819325 t=22014
kai fa zhe 	開發者	c=3 d=0.0234769 t=22014
kai fang 	開放	c=1 d=3.96666e-05 t=22014
kai guan ji 	开关机	c=1 d=1 t=21905
kai guang 	開光	c=1 d=3.21521e-34 t=22014
kai ji 	開機	c=13 d=1.58493 t=22014
kai ji shi 	开机时	c=1 d=1 t=21739
kai le 	開了	c=1 d=7.20271e-23 t=22014
kai qi 	開啓	c=6 d=7.12706e-07 t=22014
kai shi 	開始	c=23 d=0.496092 t=22014
kai tong 	開通	c=2 d=0.00927901 t=22014
kai tou 	開頭	c=3 d=0.000593188 t=22014
kai you 	開有	c=1 d=6.59287e-41 t=22014
kai yuan 	開源	c=14 d=0.309382 t=22014
kai zhe 	開着	c=1 d=1.23154e-09 t=22014
kan 	堪	c=2 d=0.228779 t=22014
kan 	看	c=55 d=0.125048 t=22014
kan bu 	看不	c=0 d=4.04804e-39 t=22014
kan bu chu lai 	看不出來	c=1 d=0.017249 t=22014
kan bu dao 	看不到	c=6 d=2.4916e-05 t=22014
kan bu le 	看不了	c=7 d=7.61797e-06 t=22014
kan chu lai 	看出來	c=1 d=1 t=20996
kan cuo le 	看错了	c=1 d=3.76988e-24 t=22014
kan dai 	看待	c=1 d=1.24176e-18 t=22014
kan dao 	看到	c=21 d=0.05342 t=22014
kan dao guo 	看到过	c=1 d=1.54733e-18 t=22014
kan dao le 	看到了	c=5 d=7.93562e-16 t=22014
kan dao mei 	看到没	c=1 d=2.76124e-08 t=22014
kan dian shi 	看電視	c=1 d=1.14135e-26 t=22014
kan duo le 	看多了	c=2 d=5.86467e-17 t=22014
kan guo 	看過	c=2 d=1.37858 t=20127
kan guo mei 	看過沒	c=1 d=1 t=20065
kan jian le 	看见了	c=1 d=1.60245e-18 t=22014
kan kan 	看看	c=44 d=0.839875 t=22014
kan lai 	看來	c=11 d=0.368063 t=22014
kan le 	看了	c=6 d=0.00282287 t=22014
kan qi lai 	看起來	c=1 d=8.38859e-22 t=22014
kan qing chu 	看清楚	c=1 d=0.00382958 t=22014
kan quan 	看拳	c=1 d=1 t=20397
kan shang qu 	看上去	c=1 d=6.34664e-05 t=22014
kan shi pin 	看视频	c=1 d=1.69156e-37 t=22014
kan wan 	看完	c=3 d=0.00395248 t=22014
kan wang ye 	看網頁	c=1 d=7.42989e-06 t=22014
kan wo 	看我	c=1 d=0.19398 t=22014
kan xie 	看些	c=0 d=6.42702e-07 t=22014
kan zhe 	看着	c=1 d=4.31736e-14 t=22014
kan zhe wan 	看着玩	c=1 d=3.19374e-14 t=22014
kan zhong 	看中	c=1 d=1.6135e-40 t=22014
kang 	扛	c=1 d=1 t=21415
kang qiao 	康橋	c=0 d=0.00632918 t=22014
kang sheng 	康生	c=1 d=1.38304e-21 t=22014
kang yi 	抗議	c=2 d=1.97045 t=20424
kao 	靠	c=5 d=0.0335409 t=22014
kao bei 	拷貝	c=9 d=1.97213e-11 t=22014
kao fen 	考分	c=1 d=7.12111e-36 t=22014
kao lv 	考慮	c=2 d=0.00474815 t=22014
kao lv dao 	考慮到	c=1 d=6.57494e-09 t=22014
kao pu 	靠譜	c=2 d=7.50114e-12 t=22014
kao sheng 	考生	c=2 d=1.7464e-35 t=22014
kao shi 	考試	c=1 d=4.94429e-38 t=22014
kao yan 	考研	c=10 d=5.90746e-35 t=22014
ke 	刻	c=1 d=3.33665e-29 t=22014
ke 	可	c=3 d=0.16696 t=22014
ke chuan 	客串	c=1 d=1 t=20234
ke fu 	克服	c=1 d=0.99005 t=22014
ke fu 	客服	c=16 d=0.985112 t=22014
ke guan cun zai 	客觀存在	c=1 d=6.79481e-43 t=22014
ke hu duan 	客戶端	c=41 d=1.57213 t=22014
ke ji 	科技	c=2 d=0.357007 t=22014
ke jing 	可敬	c=1 d=6.54305e-40 t=22014
ke kao 	可靠	c=6 d=8.02977e-07 t=22014
ke neng 	可能	c=20 d=0.00852289 t=22014
ke neng xing 	可能性	c=1 d=3.36732e-19 t=22014
ke pa 	可怕	c=2 d=0.212248 t=22014
ke pu 	科普	c=2 d=5.4117e-05 t=22014
ke shi 	可是	c=3 d=1.28179 t=21312
ke ting 	客廳	c=9 d=3.04504e-40 t=22014
ke xi 	可惜	c=4 d=1.51863e-37 t=22014
ke xue 	科學	c=1 d=9.2403e-42 t=22014
ke xue ji shu 	科學技術	c=3 d=1.62401e-41 t=22014
ke yi 	刻意	c=1 d=1 t=21294
ke yi 	可以	c=137 d=1.16658 t=22014
ke yi kan dao 	可以看到	c=1 d=1.55292e-31 t=22014
ke yi lian 	可以連	c=1 d=4.21181e-34 t=22014
ke yong 	可用	c=1 d=2.46681e-05 t=22014
ken ding 	肯定	c=22 d=0.0386809 t=22014
keng 	坑	c=1 d=9.47936e-19 t=22014
keng die 	坑爹	c=1 d=1 t=21074
keng meng guai pian 	坑蒙拐騙	c=1 d=4.23509e-40 t=22014
kong 	空	c=1 d=0.241714 t=22014
kong dang dang 	空蕩蕩	c=1 d=1 t=20865
kong gu 	控股	c=1 d=4.11425e-23 t=22014
kong jian 	空間	c=3 d=0.116484 t=22014
kong jiang 	空降	c=0 d=0.1 t=21095
kong jiang yi ge 	空降一個	c=1 d=1 t=21096
kong jie 	空姐	c=1 d=1.0095e-23 t=22014
kong kong 	空空	c=1 d=1 t=20860
kong liu 	孔劉	c=1 d=3.03788e-43 t=22014
kong xian 	空閒	c=1 d=2.76218e-12 t=22014
kong zhi 	控制	c=1 d=1 t=20280
kou 	口	c=4 d=2.48002e-10 t=22014
kou 	寇	c=1 d=1.88831e-08 t=22014
kou lao xi 	寇老西	c=1 d=1.8325e-08 t=22014
ku 	苦	c=1 d=3.24863e-38 t=22014
ku jie 	枯竭	c=1 d=1 t=20863
ku zi 	褲子	c=1 d=1.48919e-38 t=22014
kua da 	誇大	c=1 d=3.28809e-33 t=22014
kua guo gong si 	跨國公司	c=1 d=4.34318e-13 t=22014
kuai 	塊	c=0 d=8.61266e-39 t=22014
kuai 	快	c=23 d=0.0308074 t=22014
kuai bu 	快步	c=0 d=6.55218e-28 t=22014
kuai bu dei 	快步得	c=1 d=6.58502e-27 t=22014
kuai chong 	快充	c=5 d=1.20859e-23 t=22014
kuai di yuan 	快递员	c=1 d=1.48666e-18 t=22014
kuai dian er 	快點兒	c=1 d=6.7692e-28 t=22014
kuai guan ji 	快關機	c=1 d=1.17631e-28 t=22014
kuai huo 	快活	c=0 d=3.96856e-41 t=22014
kuai jie fang shi 	快捷方式	c=1 d=3.80971e-30 t=22014
kuai su 	快速	c=1 d=1.4597e-38 t=22014
kuai wei 	快慰	c=1 d=1.84451e-26 t=22014
kuan 	款	c=1 d=2.05688e-14 t=22014
kuan dai 	寬帶	c=1 d=5.61521e-35 t=22014
kuang 	框	c=2 d=4.86869e-25 t=22014
kuang 	狂	c=1 d=5.43703e-38 t=22014
kuang jia 	框架	c=3 d=0.444858 t=22014
